   2.00000000       0.00000000       0.00000000    
   1.99000835      0.199666843       5.00000007E-02
   1.96013319      0.397338659      0.100000001    
   1.91067302      0.591040432      0.150000006    
   1.84212196      0.778836668      0.200000003    
   1.75516510      0.958851099      0.250000000    
   1.65067124       1.12928498      0.300000012    
   1.52968431       1.28843546      0.350000024    
   1.39341331       1.43471229      0.400000036    
   1.24321973       1.56665397      0.450000048    
   1.08060443       1.68294215      0.500000060    
  0.907191992       1.78241479      0.550000072    
  0.724715173       1.86407828      0.600000083    
  0.534997284       1.92711651      0.650000095    
  0.339933872       1.97089958      0.700000107    
  0.141473934       1.99498999      0.750000119    
  -5.83995692E-02   1.99914718      0.800000131    
 -0.257689565       1.98332953      0.850000143    
 -0.454404801       1.94769514      0.900000155    
 -0.646579742       1.89259994      0.950000167    
 -0.832294106       1.81859469       1.00000012    
  -1.00969243       1.72641861       1.05000007    
  -1.17700231       1.61699271       1.10000002    
  -1.33255196       1.49141049       1.14999998    
  -1.47478724       1.35092652       1.19999993    
  -1.60228693       1.19694471       1.24999988    
  -1.71377718       1.03100336       1.29999983    
  -1.80814397      0.854760528       1.34999979    
  -1.88444436      0.669977307       1.39999974    
  -1.94191599      0.478499860       1.44999969    
  -1.97998476      0.282241434       1.49999964    
  -1.99827027       8.31629410E-02   1.54999959    
  -1.99658966     -0.116746478       1.59999955    
  -1.97495985     -0.315489411       1.64999950    
  -1.93359697     -0.511080086       1.69999945    
  -1.87291420     -0.701564252       1.74999940    
  -1.79351795     -0.885038555       1.79999936    
  -1.69620156      -1.05966997       1.84999931    
  -1.58193719      -1.22371340       1.89999926    
  -1.45186675      -1.37553000       1.94999921    
  -1.30728972      -1.51360285       1.99999917    
  -1.14965034      -1.63655245       2.04999924    
 -0.980524480      -1.74315000       2.09999919    
 -0.801601470      -1.83233047       2.14999914    
 -0.614669204      -1.90320301       2.19999909    
 -0.421595335      -1.95505941       2.24999905    
 -0.224309027      -1.98738158       2.29999900    
  -2.47815233E-02  -1.99984646       2.34999895    
  0.174993590      -1.99232960       2.39999890    
  0.373020232      -1.96490610       2.44999886    
  0.567319810      -1.91784990       2.49999881    
  0.755950868      -1.85163128       2.54999876    
  0.937028766      -1.76691175       2.59999871    
   1.10874426      -1.66453779       2.64999866    
   1.26938152      -1.54553246       2.69999862    
   1.41733551      -1.41108465       2.74999857    
   1.55112803      -1.26253784       2.79999852    
