     -8.00   -527.00
     -7.90   -507.84
     -7.80   -489.15
     -7.70   -470.93
     -7.60   -453.18
     -7.50   -435.88
     -7.40   -419.02
     -7.30   -402.62
     -7.20   -386.65
     -7.10   -371.11
     -7.00   -356.00
     -6.90   -341.31
     -6.80   -327.03
     -6.70   -313.16
     -6.60   -299.70
     -6.50   -286.63
     -6.40   -273.94
     -6.30   -261.65
     -6.20   -249.73
     -6.10   -238.18
     -6.00   -227.00
     -5.90   -216.18
     -5.80   -205.71
     -5.70   -195.59
     -5.60   -185.82
     -5.50   -176.38
     -5.40   -167.26
     -5.30   -158.48
     -5.20   -150.01
     -5.10   -141.85
     -5.00   -134.00
     -4.90   -126.45
     -4.80   -119.19
     -4.70   -112.22
     -4.60   -105.54
     -4.50    -99.13
     -4.40    -92.98
     -4.30    -87.11
     -4.20    -81.49
     -4.10    -76.12
     -4.00    -71.00
     -3.90    -66.12
     -3.80    -61.47
     -3.70    -57.05
     -3.60    -52.86
     -3.50    -48.88
     -3.40    -45.10
     -3.30    -41.54
     -3.20    -38.17
     -3.10    -34.99
     -3.00    -32.00
     -2.90    -29.19
     -2.80    -26.55
     -2.70    -24.08
     -2.60    -21.78
     -2.50    -19.63
     -2.40    -17.62
     -2.30    -15.77
     -2.20    -14.05
     -2.10    -12.46
     -2.00    -11.00
     -1.90     -9.66
     -1.80     -8.43
     -1.70     -7.31
     -1.60     -6.30
     -1.50     -5.38
     -1.40     -4.54
     -1.30     -3.80
     -1.20     -3.13
     -1.10     -2.53
     -1.00     -2.00
     -0.90     -1.53
     -0.80     -1.11
     -0.70     -0.74
     -0.60     -0.42
     -0.50     -0.13
     -0.40      0.14
     -0.30      0.37
     -0.20      0.59
     -0.10      0.80
     -0.00      1.00
      0.10      1.20
      0.20      1.41
      0.30      1.63
      0.40      1.86
      0.50      2.12
      0.60      2.42
      0.70      2.74
      0.80      3.11
      0.90      3.53
      1.00      4.00
      1.10      4.53
      1.20      5.13
      1.30      5.80
      1.40      6.54
      1.50      7.37
      1.60      8.30
      1.70      9.31
      1.80     10.43
      1.90     11.66
      2.00     13.00
      2.10     14.46
      2.20     16.05
      2.30     17.77
      2.40     19.62
      2.50     21.62
      2.60     23.78
      2.70     26.08
      2.80     28.55
      2.90     31.19
      3.00     34.00
      3.10     36.99
      3.20     40.17
      3.30     43.54
      3.40     47.10
      3.50     50.87
      3.60     54.86
      3.70     59.05
      3.80     63.47
      3.90     68.12
      4.00     73.00
      4.10     78.12
      4.20     83.49
      4.30     89.11
      4.40     94.98
      4.50    101.12
      4.60    107.54
      4.70    114.22
      4.80    121.19
      4.90    128.45
      5.00    136.00
      5.10    143.85
      5.20    152.01
      5.30    160.48
      5.40    169.26
      5.50    178.37
      5.60    187.82
      5.70    197.59
      5.80    207.71
      5.90    218.18
      6.00    229.00
      6.10    240.18
      6.20    251.73
      6.30    263.65
      6.40    275.94
      6.50    288.62
      6.60    301.69
      6.70    315.16
      6.80    329.03
      6.90    343.31
      7.00    358.00
      7.10    373.11
      7.20    388.65
      7.30    404.62
      7.40    421.02
      7.50    437.87
      7.60    455.17
      7.70    472.93
      7.80    491.15
      7.90    509.84
      8.00    529.00
