2.000000 0.000000 0.000000
1.990008 0.199667 0.050000
1.960133 0.397339 0.100000
1.910673 0.591040 0.150000
1.842122 0.778837 0.200000
1.755165 0.958851 0.250000
1.650671 1.129285 0.300000
1.529684 1.288435 0.350000
1.393413 1.434712 0.400000
1.243220 1.566654 0.450000
1.080605 1.682942 0.500000
0.907192 1.782415 0.550000
0.724716 1.864078 0.600000
0.534998 1.927116 0.650000
0.339934 1.970899 0.700000
0.141474 1.994990 0.750000
-0.058399 1.999147 0.800000
-0.257689 1.983330 0.850000
-0.454404 1.947695 0.900000
-0.646579 1.892600 0.950000
-0.832294 1.818595 1.000000
-1.009692 1.726419 1.050000
-1.177002 1.616993 1.100000
-1.332552 1.491410 1.150000
-1.474787 1.350926 1.200000
-1.602287 1.196944 1.250000
-1.713778 1.031003 1.300000
-1.808144 0.854760 1.350000
-1.884445 0.669976 1.400000
-1.941916 0.478499 1.450000
-1.979985 0.282240 1.500000
-1.998270 0.083161 1.550000
-1.996590 -0.116748 1.600000
-1.974960 -0.315491 1.650000
-1.933596 -0.511082 1.700000
-1.872913 -0.701566 1.750000
-1.793517 -0.885041 1.800000
-1.696200 -1.059672 1.850000
-1.581935 -1.223716 1.900000
-1.451865 -1.375532 1.950000
-1.307287 -1.513605 2.000000
-1.149648 -1.636554 2.050000
-0.980522 -1.743152 2.100000
-0.801598 -1.832332 2.150000
-0.614666 -1.903204 2.200000
-0.421592 -1.955060 2.250000
-0.224305 -1.987382 2.300000
-0.024777 -1.999847 2.350000
0.174998 -1.992329 2.400000
0.373025 -1.964905 2.450000
0.567324 -1.917849 2.500000
0.755955 -1.851629 2.550000
0.937033 -1.766909 2.600000
1.108749 -1.664535 2.650000
1.269386 -1.545529 2.700000
1.417340 -1.411081 2.750000
1.551132 -1.262533 2.800000
1.669426 -1.101371 2.850000
1.771039 -0.929204 2.900000
1.854957 -0.747753 2.950000
1.920341 -0.558831 3.000000
1.966537 -0.364325 3.050000
1.993084 -0.166179 3.100000
1.999717 0.033628 3.150000
1.986370 0.233098 3.200000
1.953175 0.430240 3.250000
1.900465 0.623083 3.300000
1.828766 0.809700 3.350000
1.738795 0.988227 3.400000
1.631450 1.156880 3.450000
1.507805 1.313973 3.500000
1.369093 1.457938 3.550000
1.216703 1.587336 3.600000
1.052155 1.700873 3.650000
0.877095 1.797416 3.700000
0.693271 1.876000 3.750000
0.502520 1.935839 3.800000
0.306748 1.976336 3.850000
0.107911 1.997087 3.900000
-0.092004 1.997883 3.950000
-0.291000 1.978716 4.000000
-0.487088 1.939780 4.050000
-0.678310 1.881461 4.100000
-0.862754 1.804344 4.150000
-1.038577 1.709198 4.200000
-1.204024 1.596974 4.250000
-1.357440 1.468794 4.300000
-1.497293 1.325938 4.350000
-1.622186 1.169834 4.400000
-1.730870 1.002042 4.450000
-1.822261 0.824237 4.500000
-1.895443 0.638197 4.550000
-1.949687 0.445780 4.600000
-1.984451 0.248909 4.650000
-1.999386 0.049551 4.700000
-1.994344 -0.150302 4.750000
-1.969376 -0.348654 4.800000
-1.924730 -0.543521 4.850000
-1.860853 -0.732958 4.900000
-1.778382 -0.915072 4.950000
-1.678143 -1.088042 5.000000
-1.561136 -1.250141 5.050000
-1.428531 -1.399749 5.100000
-1.281653 -1.535372 5.150000
-1.121969 -1.655653 5.200000
-0.951074 -1.759392 5.250000
-0.770676 -1.845551 5.300000
-0.582579 -1.913270 5.350000
-0.388660 -1.961872 5.400000
-0.190858 -1.990873 5.450000
0.008851 -1.999980 5.500000
0.208472 -1.989105 5.550000
0.406010 -1.958355 5.600000
0.599491 -1.908038 5.650000
0.786982 -1.838657 5.700000
0.966610 -1.750904 5.750000
1.136579 -1.645657 5.800000
1.295193 -1.523967 5.850000
1.440865 -1.387050 5.900000
1.572141 -1.236274 5.950000
1.687708 -1.073146 6.000000
1.786412 -0.899295 6.050000
1.867267 -0.716459 6.100000
1.929465 -0.526464 6.150000
1.972385 -0.331208 6.200000
1.995597 -0.132644 6.250000
1.998869 0.067246 6.300000
1.982170 0.266464 6.350000
1.945665 0.463020 6.400000
1.889720 0.654949 6.450000
1.814894 0.840334 6.500000
1.721933 1.017323 6.550000
1.611768 1.184147 6.600000
1.485498 1.339140 6.650000
1.344386 1.480752 6.700000
1.189841 1.607569 6.750000
1.023408 1.718324 6.800000
0.846749 1.811909 6.850000
0.661630 1.887391 6.900000
0.469900 1.944015 6.950000
0.273474 1.981215 7.000000
0.074317 1.998619 7.050000
-0.125583 1.996053 7.100000
-0.324229 1.973544 7.150000
-0.519635 1.931316 7.200000
-0.709849 1.869790 7.250000
-0.892970 1.789582 7.300000
-1.067169 1.691494 7.350000
-1.230705 1.576504 7.400000
-1.381944 1.445763 7.450000
-1.519376 1.300576 7.500000
